0,Male,<=50K
1,Male,<=50K
2,Male,<=50K
3,Male,<=50K
4,Female,<=50K
5,Female,<=50K
6,Female,<=50K
7,Male,>50K
8,Female,>50K
9,Male,>50K
10,Male,>50K
11,Male,>50K
12,Female,<=50K
13,Male,<=50K
14,Male,>50K
15,Male,<=50K
16,Male,<=50K
17,Male,<=50K
18,Male,<=50K
19,Female,>50K
20,Male,>50K
21,Female,<=50K
22,Male,<=50K
23,Male,<=50K
24,Female,<=50K
25,Male,>50K
26,Male,<=50K
27,Male,>50K
28,Male,<=50K
29,Male,<=50K
30,Male,<=50K
31,Male,<=50K
32,Male,<=50K
33,Male,<=50K
34,Male,<=50K
35,Male,<=50K
36,Male,<=50K
37,Female,<=50K
38,Male,>50K
39,Male,<=50K
40,Male,<=50K
41,Male,<=50K
42,Male,<=50K
43,Female,<=50K
44,Male,<=50K
45,Male,>50K
46,Male,<=50K
47,Female,<=50K
48,Male,<=50K
49,Male,<=50K
50,Female,<=50K
51,Female,<=50K
52,Female,>50K
53,Male,>50K
54,Male,<=50K
55,Male,>50K
56,Male,<=50K
57,Male,<=50K
58,Male,<=50K
59,Male,<=50K
60,Male,<=50K
61,Male,<=50K
62,Male,<=50K
63,Male,>50K
64,Male,<=50K
65,Male,<=50K
66,Female,<=50K
67,Female,>50K
68,Male,>50K
69,Male,<=50K
70,Male,<=50K
71,Female,<=50K
72,Male,>50K
73,Male,<=50K
74,Male,<=50K
75,Male,<=50K
76,Male,<=50K
77,Male,<=50K
78,Female,<=50K
79,Male,<=50K
80,Male,<=50K
81,Male,<=50K
82,Female,<=50K
83,Male,<=50K
84,Female,>50K
85,Female,<=50K
86,Male,>50K
87,Male,<=50K
88,Male,<=50K
89,Female,>50K
90,Male,<=50K
91,Female,<=50K
92,Female,<=50K
93,Female,<=50K
94,Male,>50K
95,Male,<=50K
96,Male,>50K
97,Male,>50K
98,Female,<=50K
99,Male,<=50K
100,Male,>50K
101,Male,>50K
102,Female,<=50K
103,Female,<=50K
104,Male,<=50K
105,Male,>50K
106,Female,<=50K
107,Male,<=50K
108,Female,<=50K
109,Male,<=50K
110,Male,<=50K
111,Male,>50K
112,Male,>50K
113,Female,<=50K
114,Female,<=50K
115,Male,<=50K
116,Male,<=50K
117,Male,>50K
118,Male,<=50K
119,Male,<=50K
120,Female,<=50K
121,Male,<=50K
122,Male,<=50K
123,Male,>50K
124,Male,<=50K
125,Female,>50K
126,Female,<=50K
127,Male,>50K
128,Male,<=50K
129,Male,<=50K
130,Female,<=50K
131,Female,<=50K
132,Male,<=50K
133,Male,<=50K
134,Female,<=50K
135,Male,>50K
136,Male,<=50K
137,Female,<=50K
138,Male,<=50K
139,Male,>50K
140,Male,<=50K
141,Female,<=50K
142,Male,<=50K
143,Female,>50K
144,Male,<=50K
145,Female,<=50K
146,Male,<=50K
147,Female,<=50K
148,Male,<=50K
149,Female,<=50K
150,Female,<=50K
151,Female,<=50K
152,Female,<=50K
153,Male,<=50K
154,Male,>50K
155,Male,<=50K
156,Male,<=50K
157,Male,<=50K
158,Male,<=50K
159,Male,<=50K
160,Female,<=50K
161,Female,<=50K
162,Female,<=50K
163,Female,<=50K
164,Male,>50K
165,Female,<=50K
166,Male,<=50K
167,Male,<=50K
168,Male,<=50K
169,Female,<=50K
170,Male,<=50K
171,Male,<=50K
172,Male,>50K
173,Male,<=50K
174,Male,>50K
175,Female,<=50K
176,Male,<=50K
177,Male,<=50K
178,Male,<=50K
179,Male,<=50K
180,Male,>50K
181,Female,<=50K
182,Male,<=50K
183,Male,>50K
184,Male,>50K
185,Male,<=50K
186,Female,<=50K
187,Female,<=50K
188,Female,<=50K
189,Male,>50K
190,Female,<=50K
191,Male,<=50K
192,Male,<=50K
193,Male,<=50K
194,Male,<=50K
195,Male,<=50K
196,Male,<=50K
197,Female,>50K
198,Male,>50K
199,Male,<=50K
200,Female,<=50K
201,Male,<=50K
202,Male,>50K
203,Female,<=50K
204,Female,<=50K
205,Female,<=50K
206,Male,>50K
207,Male,<=50K
208,Female,>50K
209,Female,<=50K
210,Male,<=50K
211,Male,>50K
212,Female,<=50K
213,Male,<=50K
214,Male,>50K
215,Male,>50K
216,Female,<=50K
217,Male,<=50K
218,Male,<=50K
219,Male,<=50K
220,Male,<=50K
221,Male,<=50K
222,Male,<=50K
223,Male,<=50K
224,Female,<=50K
225,Female,<=50K
226,Female,<=50K
227,Male,<=50K
228,Female,<=50K
229,Female,<=50K
230,Male,<=50K
231,Female,<=50K
232,Male,<=50K
233,Female,<=50K
234,Male,>50K
235,Male,<=50K
236,Female,<=50K
237,Male,>50K
238,Male,>50K
239,Male,<=50K
240,Male,>50K
241,Female,<=50K
242,Male,<=50K
243,Male,<=50K
244,Male,<=50K
245,Male,<=50K
246,Male,>50K
247,Female,<=50K
248,Male,>50K
249,Male,<=50K
250,Female,>50K
251,Female,<=50K
252,Female,<=50K
253,Male,<=50K
254,Male,<=50K
255,Male,>50K
256,Female,<=50K
257,Female,<=50K
258,Female,<=50K
259,Male,<=50K
260,Female,<=50K
261,Male,<=50K
262,Male,<=50K
263,Male,<=50K
264,Male,<=50K
265,Male,>50K
266,Male,<=50K
267,Male,>50K
268,Female,<=50K
269,Female,>50K
270,Male,>50K
271,Male,<=50K
272,Male,<=50K
273,Male,<=50K
274,Female,<=50K
275,Male,<=50K
276,Male,>50K
277,Female,<=50K
278,Female,<=50K
279,Female,>50K
280,Female,<=50K
281,Male,>50K
282,Female,<=50K
283,Female,<=50K
284,Male,<=50K
285,Male,>50K
286,Male,>50K
287,Male,<=50K
288,Female,<=50K
289,Male,<=50K
290,Male,<=50K
291,Female,<=50K
292,Male,<=50K
293,Male,<=50K
294,Female,<=50K
295,Male,<=50K
296,Female,<=50K
297,Female,<=50K
298,Male,<=50K
299,Male,<=50K
300,Male,>50K
301,Female,<=50K
302,Male,>50K
303,Male,>50K
304,Female,<=50K
305,Female,<=50K
306,Male,<=50K
307,Female,<=50K
308,Male,>50K
309,Male,>50K
310,Male,<=50K
311,Male,>50K
312,Female,<=50K
313,Female,>50K
314,Male,<=50K
315,Male,<=50K
316,Male,<=50K
317,Female,<=50K
318,Female,<=50K
319,Female,<=50K
320,Male,<=50K
321,Male,<=50K
322,Male,<=50K
323,Female,<=50K
324,Male,<=50K
325,Male,<=50K
326,Female,<=50K
327,Female,>50K
328,Male,<=50K
329,Male,<=50K
330,Male,<=50K
331,Male,<=50K
332,Male,<=50K
333,Male,<=50K
334,Male,<=50K
335,Male,<=50K
336,Male,<=50K
337,Male,<=50K
338,Male,<=50K
339,Male,<=50K
340,Male,<=50K
341,Male,>50K
342,Male,>50K
343,Male,<=50K
344,Female,<=50K
345,Male,<=50K
346,Male,<=50K
347,Female,<=50K
348,Male,<=50K
349,Male,<=50K
350,Male,>50K
351,Male,<=50K
352,Male,>50K
353,Male,<=50K
354,Male,>50K
355,Male,>50K
356,Male,<=50K
357,Male,>50K
358,Female,<=50K
359,Male,<=50K
360,Female,<=50K
361,Male,>50K
362,Male,<=50K
363,Male,>50K
364,Male,<=50K
365,Male,<=50K
366,Male,<=50K
367,Female,<=50K
368,Female,>50K
369,Female,<=50K
370,Female,<=50K
371,Male,<=50K
372,Male,>50K
373,Male,<=50K
374,Male,<=50K
375,Female,<=50K
376,Female,<=50K
377,Male,<=50K
378,Male,<=50K
379,Male,<=50K
380,Male,<=50K
381,Female,<=50K
382,Male,<=50K
383,Female,<=50K
384,Female,<=50K
385,Female,<=50K
386,Male,<=50K
387,Female,>50K
388,Female,<=50K
389,Female,<=50K
390,Female,>50K
391,Male,<=50K
392,Male,<=50K
393,Male,>50K
394,Female,<=50K
395,Male,<=50K
396,Female,<=50K
397,Female,<=50K
398,Male,>50K
399,Male,>50K
400,Male,<=50K
401,Female,<=50K
402,Male,>50K
403,Female,<=50K
404,Male,<=50K
405,Male,>50K
406,Male,<=50K
407,Male,<=50K
408,Female,>50K
409,Male,<=50K
410,Female,<=50K
411,Female,<=50K
412,Female,<=50K
413,Male,>50K
414,Male,<=50K
415,Male,>50K
416,Male,<=50K
417,Female,<=50K
418,Male,<=50K
419,Female,<=50K
420,Male,<=50K
421,Male,<=50K
422,Female,>50K
423,Male,<=50K
424,Female,<=50K
425,Male,<=50K
426,Male,<=50K
427,Male,<=50K
428,Male,>50K
429,Male,<=50K
430,Male,<=50K
431,Male,<=50K
432,Female,<=50K
433,Female,>50K
434,Male,<=50K
435,Male,>50K
436,Male,<=50K
437,Female,<=50K
438,Male,<=50K
439,Female,<=50K
440,Male,<=50K
441,Female,<=50K
442,Male,<=50K
443,Male,>50K
444,Male,<=50K
445,Male,<=50K
446,Female,<=50K
447,Male,<=50K
448,Male,<=50K
