Never-married,Adm-clerical,Not-in-family,White,Male,2174,40,United-States
Married-civ-spouse,Exec-managerial,Husband,White,Male,0,13,United-States
Divorced,Handlers-cleaners,Not-in-family,White,Male,0,40,United-States
Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,40,United-States
Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,40,Cuba
Married-civ-spouse,Exec-managerial,Wife,White,Female,0,40,United-States
Married-spouse-absent,Other-service,Not-in-family,Black,Female,0,16,Jamaica
Married-civ-spouse,Exec-managerial,Husband,White,Male,0,45,United-States
Never-married,Prof-specialty,Not-in-family,White,Female,14084,50,United-States
Married-civ-spouse,Exec-managerial,Husband,White,Male,5178,40,United-States
Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,80,United-States
Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,40,India
Never-married,Adm-clerical,Own-child,White,Female,0,30,United-States
Never-married,Sales,Not-in-family,Black,Male,0,50,United-States
Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,40,?
Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,45,Mexico
Never-married,Farming-fishing,Own-child,White,Male,0,35,United-States
Never-married,Machine-op-inspct,Unmarried,White,Male,0,40,United-States
Married-civ-spouse,Sales,Husband,White,Male,0,50,United-States
Divorced,Exec-managerial,Unmarried,White,Female,0,45,United-States
Married-civ-spouse,Prof-specialty,Husband,White,Male,0,60,United-States
Separated,Other-service,Unmarried,Black,Female,0,20,United-States
Married-civ-spouse,Farming-fishing,Husband,Black,Male,0,40,United-States
Married-civ-spouse,Transport-moving,Husband,White,Male,0,40,United-States
Divorced,Tech-support,Unmarried,White,Female,0,40,United-States
Married-civ-spouse,Tech-support,Husband,White,Male,0,40,United-States
Never-married,Craft-repair,Own-child,White,Male,0,40,United-States
Married-civ-spouse,?,Husband,Asian-Pac-Islander,Male,0,60,South
Divorced,Exec-managerial,Not-in-family,White,Male,0,80,United-States
Married-civ-spouse,Craft-repair,Husband,White,Male,0,40,United-States
Never-married,Protective-serv,Not-in-family,White,Male,0,52,United-States
Never-married,Sales,Own-child,Black,Male,0,44,United-States
Divorced,Exec-managerial,Own-child,White,Male,0,40,United-States
Married-civ-spouse,Adm-clerical,Own-child,White,Male,0,40,United-States
Married-civ-spouse,Other-service,Husband,Black,Male,0,15,United-States
Never-married,Machine-op-inspct,Unmarried,White,Male,0,40,Puerto-Rico
Never-married,Machine-op-inspct,Own-child,White,Male,0,40,United-States
Married-AF-spouse,Adm-clerical,Wife,White,Female,0,25,United-States
Married-civ-spouse,Sales,Husband,White,Male,0,38,?
Married-civ-spouse,Prof-specialty,Husband,White,Male,0,40,United-States
Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,43,United-States
Married-civ-spouse,Prof-specialty,Husband,White,Male,0,40,United-States
Married-civ-spouse,Tech-support,Husband,White,Male,0,50,United-States
Separated,Adm-clerical,Unmarried,White,Female,0,40,United-States
Never-married,Handlers-cleaners,Not-in-family,White,Male,0,35,United-States
Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,40,United-States
Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,38,United-States
Divorced,Exec-managerial,Unmarried,White,Female,0,40,United-States
Married-civ-spouse,Craft-repair,Husband,White,Male,0,40,United-States
Never-married,Prof-specialty,Not-in-family,White,Male,0,43,United-States
Married-civ-spouse,Exec-managerial,Wife,Other,Female,0,40,United-States
Never-married,Other-service,Own-child,White,Female,0,30,?
Married-civ-spouse,Prof-specialty,Wife,White,Female,0,60,Honduras
Divorced,Exec-managerial,Not-in-family,White,Male,0,55,United-States
Divorced,Exec-managerial,Not-in-family,White,Male,0,60,United-States
Married-civ-spouse,Tech-support,Husband,White,Male,0,40,United-States
Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,40,Mexico
Married-civ-spouse,Other-service,Husband,White,Male,0,40,Puerto-Rico
Married-civ-spouse,Adm-clerical,Husband,White,Male,0,48,United-States
Married-civ-spouse,Machine-op-inspct,Husband,White,Male,5013,40,United-States
Married-civ-spouse,Sales,Husband,White,Male,2407,40,United-States
Married-spouse-absent,?,Not-in-family,White,Male,0,40,?
Married-civ-spouse,Transport-moving,Husband,White,Male,0,40,United-States
Married-civ-spouse,Prof-specialty,Husband,White,Male,0,45,United-States
Divorced,Tech-support,Not-in-family,White,Male,0,58,United-States
Married-civ-spouse,Craft-repair,Husband,White,Male,0,40,United-States
Divorced,Adm-clerical,Not-in-family,White,Female,0,40,United-States
Married-civ-spouse,Adm-clerical,Wife,White,Female,0,40,United-States
Married-civ-spouse,Exec-managerial,Husband,White,Male,0,50,United-States
Never-married,?,Own-child,White,Male,0,40,United-States
Never-married,Prof-specialty,Own-child,White,Male,0,32,United-States
Separated,Sales,Own-child,Black,Female,0,40,United-States
Married-civ-spouse,Sales,Husband,White,Male,0,70,United-States
Never-married,Machine-op-inspct,Not-in-family,White,Male,0,40,United-States
Married-civ-spouse,Prof-specialty,Other-relative,White,Male,0,20,United-States
Never-married,Other-service,Own-child,White,Male,0,40,Mexico
Married-civ-spouse,Adm-clerical,Husband,White,Male,0,40,United-States
Married-civ-spouse,?,Husband,White,Male,0,2,United-States
Never-married,Other-service,Own-child,White,Female,0,22,United-States
Married-civ-spouse,Farming-fishing,Husband,White,Male,0,40,United-States
Never-married,Sales,Not-in-family,White,Male,0,30,United-States
Married-civ-spouse,Other-service,Husband,White,Male,0,40,Cuba
Married-civ-spouse,Other-service,Wife,White,Female,0,40,United-States
Married-civ-spouse,Sales,Husband,White,Male,0,48,United-States
Divorced,Craft-repair,Not-in-family,White,Female,14344,40,United-States
Divorced,Sales,Own-child,White,Female,0,35,United-States
Married-civ-spouse,Protective-serv,Husband,White,Male,0,40,United-States
Married-civ-spouse,Prof-specialty,Husband,White,Male,0,50,United-States
