0,State-gov,Male,<=50K
1,Self-emp-not-inc,Male,<=50K
2,Private,Male,<=50K
3,Private,Male,<=50K
4,Private,Female,<=50K
5,Private,Female,<=50K
6,Private,Female,<=50K
7,Self-emp-not-inc,Male,>50K
8,Private,Female,>50K
9,Private,Male,>50K
10,Private,Male,>50K
11,State-gov,Male,>50K
12,Private,Female,<=50K
13,Private,Male,<=50K
14,Private,Male,>50K
15,Private,Male,<=50K
16,Self-emp-not-inc,Male,<=50K
17,Private,Male,<=50K
18,Private,Male,<=50K
19,Self-emp-not-inc,Female,>50K
20,Private,Male,>50K
21,Private,Female,<=50K
22,Federal-gov,Male,<=50K
23,Private,Male,<=50K
24,Private,Female,<=50K
25,Local-gov,Male,>50K
26,Private,Male,<=50K
27,?,Male,>50K
28,Private,Male,<=50K
29,Private,Male,<=50K
30,Local-gov,Male,<=50K
31,Private,Male,<=50K
32,Private,Male,<=50K
33,Federal-gov,Male,<=50K
34,State-gov,Male,<=50K
35,Private,Male,<=50K
36,Private,Male,<=50K
37,Private,Female,<=50K
38,Private,Male,>50K
39,Self-emp-not-inc,Male,<=50K
40,Private,Male,<=50K
41,Self-emp-not-inc,Male,<=50K
42,Private,Male,<=50K
43,Private,Female,<=50K
44,Private,Male,<=50K
45,Federal-gov,Male,>50K
46,Private,Male,<=50K
47,Private,Female,<=50K
48,State-gov,Male,<=50K
49,Private,Male,<=50K
50,Private,Female,<=50K
51,Private,Female,<=50K
52,Private,Female,>50K
53,Federal-gov,Male,>50K
54,Self-emp-inc,Male,<=50K
55,Private,Male,>50K
56,Private,Male,<=50K
57,Private,Male,<=50K
58,Private,Male,<=50K
59,Private,Male,<=50K
60,Private,Male,<=50K
61,?,Male,<=50K
62,Private,Male,<=50K
63,Private,Male,>50K
64,Private,Male,<=50K
65,Private,Male,<=50K
66,Private,Female,<=50K
67,Private,Female,>50K
68,Self-emp-inc,Male,>50K
69,?,Male,<=50K
70,Private,Male,<=50K
71,Private,Female,<=50K
72,Self-emp-not-inc,Male,>50K
73,Private,Male,<=50K
74,Private,Male,<=50K
75,Private,Male,<=50K
76,Private,Male,<=50K
77,?,Male,<=50K
78,Private,Female,<=50K
79,Local-gov,Male,<=50K
80,Private,Male,<=50K
81,Private,Male,<=50K
82,Private,Female,<=50K
83,Private,Male,<=50K
84,Private,Female,>50K
85,Private,Female,<=50K
86,Local-gov,Male,>50K
87,Private,Male,<=50K
88,Private,Male,<=50K
89,Federal-gov,Female,>50K
90,Private,Male,<=50K
91,Private,Female,<=50K
92,Private,Female,<=50K
93,Private,Female,<=50K
94,Local-gov,Male,>50K
95,Local-gov,Male,<=50K
96,Self-emp-not-inc,Male,>50K
97,Private,Male,>50K
98,Private,Female,<=50K
99,Federal-gov,Male,<=50K
100,Private,Male,>50K
101,Private,Male,>50K
102,Self-emp-not-inc,Female,<=50K
103,Private,Female,<=50K
104,Private,Male,<=50K
105,Self-emp-inc,Male,>50K
106,?,Female,<=50K
107,Private,Male,<=50K
108,Local-gov,Female,<=50K
109,Private,Male,<=50K
110,Private,Male,<=50K
111,Private,Male,>50K
112,Self-emp-not-inc,Male,>50K
113,Private,Female,<=50K
114,Private,Female,<=50K
115,Private,Male,<=50K
116,Self-emp-inc,Male,<=50K
117,Local-gov,Male,>50K
118,Private,Male,<=50K
119,Private,Male,<=50K
120,Private,Female,<=50K
121,Private,Male,<=50K
122,Private,Male,<=50K
123,State-gov,Male,>50K
124,Private,Male,<=50K
125,Private,Female,>50K
126,Private,Female,<=50K
127,Private,Male,>50K
128,?,Male,<=50K
129,Private,Male,<=50K
130,Private,Female,<=50K
131,Private,Female,<=50K
132,Self-emp-not-inc,Male,<=50K
133,Private,Male,<=50K
134,Private,Female,<=50K
135,Federal-gov,Male,>50K
136,Self-emp-not-inc,Male,<=50K
137,Private,Female,<=50K
138,Private,Male,<=50K
139,Private,Male,>50K
140,Self-emp-inc,Male,<=50K
141,Private,Female,<=50K
142,Private,Male,<=50K
143,Private,Female,>50K
144,Private,Male,<=50K
145,Private,Female,<=50K
146,Private,Male,<=50K
147,Private,Female,<=50K
148,Private,Male,<=50K
149,?,Female,<=50K
150,Local-gov,Female,<=50K
151,Private,Female,<=50K
152,Private,Female,<=50K
153,Private,Male,<=50K
154,?,Male,>50K
155,Private,Male,<=50K
156,Private,Male,<=50K
157,Self-emp-not-inc,Male,<=50K
158,Private,Male,<=50K
159,Private,Male,<=50K
160,?,Female,<=50K
161,Private,Female,<=50K
162,Self-emp-inc,Female,<=50K
163,Private,Female,<=50K
164,Self-emp-not-inc,Male,>50K
165,Private,Female,<=50K
166,Federal-gov,Male,<=50K
167,State-gov,Male,<=50K
168,Private,Male,<=50K
169,Local-gov,Female,<=50K
170,Private,Male,<=50K
171,State-gov,Male,<=50K
172,Private,Male,>50K
173,Private,Male,<=50K
174,State-gov,Male,>50K
175,Private,Female,<=50K
176,Private,Male,<=50K
177,Private,Male,<=50K
178,Private,Male,<=50K
179,Private,Male,<=50K
180,Local-gov,Male,>50K
181,Private,Female,<=50K
182,Private,Male,<=50K
183,Private,Male,>50K
184,Federal-gov,Male,>50K
185,Private,Male,<=50K
186,Self-emp-not-inc,Female,<=50K
187,?,Female,<=50K
188,Private,Female,<=50K
189,State-gov,Male,>50K
190,Private,Female,<=50K
191,Private,Male,<=50K
192,Local-gov,Male,<=50K
193,Private,Male,<=50K
194,Federal-gov,Male,<=50K
195,Private,Male,<=50K
196,Private,Male,<=50K
197,Federal-gov,Female,>50K
198,Private,Male,>50K
199,Self-emp-not-inc,Male,<=50K
200,Private,Female,<=50K
201,?,Male,<=50K
202,Private,Male,>50K
203,Local-gov,Female,<=50K
204,State-gov,Female,<=50K
205,Private,Female,<=50K
206,Private,Male,>50K
207,Private,Male,<=50K
208,Self-emp-inc,Female,>50K
209,Private,Female,<=50K
210,Local-gov,Male,<=50K
211,Private,Male,>50K
212,Private,Female,<=50K
213,Private,Male,<=50K
214,Self-emp-inc,Male,>50K
215,Private,Male,>50K
216,Private,Female,<=50K
217,Private,Male,<=50K
218,Private,Male,<=50K
219,Private,Male,<=50K
220,Private,Male,<=50K
221,?,Male,<=50K
222,Private,Male,<=50K
223,Private,Male,<=50K
224,Local-gov,Female,<=50K
225,Private,Female,<=50K
226,?,Female,<=50K
227,Self-emp-not-inc,Male,<=50K
228,Private,Female,<=50K
229,Private,Female,<=50K
230,Private,Male,<=50K
231,Private,Female,<=50K
232,Private,Male,<=50K
233,Private,Female,<=50K
234,Private,Male,>50K
235,State-gov,Male,<=50K
236,State-gov,Female,<=50K
237,Private,Male,>50K
238,Local-gov,Male,>50K
239,Private,Male,<=50K
240,Private,Male,>50K
241,Self-emp-not-inc,Female,<=50K
242,State-gov,Male,<=50K
243,?,Male,<=50K
244,Private,Male,<=50K
245,Private,Male,<=50K
246,Private,Male,>50K
247,Private,Female,<=50K
248,Private,Male,>50K
249,Private,Male,<=50K
250,Private,Female,>50K
251,Private,Female,<=50K
252,Local-gov,Female,<=50K
253,Local-gov,Male,<=50K
254,Private,Male,<=50K
255,Self-emp-not-inc,Male,>50K
256,Private,Female,<=50K
257,Private,Female,<=50K
258,Private,Female,<=50K
259,Private,Male,<=50K
260,Private,Female,<=50K
261,Private,Male,<=50K
262,Private,Male,<=50K
263,Private,Male,<=50K
264,Private,Male,<=50K
265,Self-emp-inc,Male,>50K
266,?,Male,<=50K
267,Private,Male,>50K
268,Private,Female,<=50K
269,Private,Female,>50K
270,Private,Male,>50K
271,Private,Male,<=50K
272,Self-emp-not-inc,Male,<=50K
273,Local-gov,Male,<=50K
