Never-married,Adm-clerical,Not-in-family,White,Male,2174,0,40,<=50K
Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,13,<=50K
Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,40,<=50K
Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,<=50K
Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,0,40,<=50K
Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,<=50K
Married-spouse-absent,Other-service,Not-in-family,Black,Female,0,0,16,<=50K
Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,>50K
Never-married,Prof-specialty,Not-in-family,White,Female,14084,0,50,>50K
Married-civ-spouse,Exec-managerial,Husband,White,Male,5178,0,40,>50K
Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,80,>50K
Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,>50K
Never-married,Adm-clerical,Own-child,White,Female,0,0,30,<=50K
Never-married,Sales,Not-in-family,Black,Male,0,0,50,<=50K
Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,>50K
Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,45,<=50K
Never-married,Farming-fishing,Own-child,White,Male,0,0,35,<=50K
Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40,<=50K
Married-civ-spouse,Sales,Husband,White,Male,0,0,50,<=50K
Divorced,Exec-managerial,Unmarried,White,Female,0,0,45,>50K
Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,>50K
Separated,Other-service,Unmarried,Black,Female,0,0,20,<=50K
Married-civ-spouse,Farming-fishing,Husband,Black,Male,0,0,40,<=50K
Married-civ-spouse,Transport-moving,Husband,White,Male,0,2042,40,<=50K
Divorced,Tech-support,Unmarried,White,Female,0,0,40,<=50K
Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,>50K
Never-married,Craft-repair,Own-child,White,Male,0,0,40,<=50K
Married-civ-spouse,?,Husband,Asian-Pac-Islander,Male,0,0,60,>50K
