< 5.5,>= 3.2,< 2.5,< 0.8,Iris-setosa
< 5.5,2.8 - 3.2,< 2.5,< 0.8,Iris-setosa
< 5.5,>= 3.2,< 2.5,< 0.8,Iris-setosa
< 5.5,2.8 - 3.2,< 2.5,< 0.8,Iris-setosa
< 5.5,>= 3.2,< 2.5,< 0.8,Iris-setosa
< 5.5,>= 3.2,< 2.5,< 0.8,Iris-setosa
< 5.5,>= 3.2,< 2.5,< 0.8,Iris-setosa
< 5.5,>= 3.2,< 2.5,< 0.8,Iris-setosa
< 5.5,2.8 - 3.2,< 2.5,< 0.8,Iris-setosa
< 5.5,2.8 - 3.2,< 2.5,< 0.8,Iris-setosa
< 5.5,>= 3.2,< 2.5,< 0.8,Iris-setosa
< 5.5,>= 3.2,< 2.5,< 0.8,Iris-setosa
< 5.5,2.8 - 3.2,< 2.5,< 0.8,Iris-setosa
< 5.5,2.8 - 3.2,< 2.5,< 0.8,Iris-setosa
5.5 - 6.2,>= 3.2,< 2.5,< 0.8,Iris-setosa
5.5 - 6.2,>= 3.2,< 2.5,< 0.8,Iris-setosa
< 5.5,>= 3.2,< 2.5,< 0.8,Iris-setosa
< 5.5,>= 3.2,< 2.5,< 0.8,Iris-setosa
5.5 - 6.2,>= 3.2,< 2.5,< 0.8,Iris-setosa
< 5.5,>= 3.2,< 2.5,< 0.8,Iris-setosa
< 5.5,>= 3.2,< 2.5,< 0.8,Iris-setosa
< 5.5,>= 3.2,< 2.5,< 0.8,Iris-setosa
< 5.5,>= 3.2,< 2.5,< 0.8,Iris-setosa
< 5.5,>= 3.2,< 2.5,< 0.8,Iris-setosa
< 5.5,>= 3.2,< 2.5,< 0.8,Iris-setosa
< 5.5,2.8 - 3.2,< 2.5,< 0.8,Iris-setosa
< 5.5,>= 3.2,< 2.5,< 0.8,Iris-setosa
< 5.5,>= 3.2,< 2.5,< 0.8,Iris-setosa
< 5.5,>= 3.2,< 2.5,< 0.8,Iris-setosa
< 5.5,>= 3.2,< 2.5,< 0.8,Iris-setosa
< 5.5,2.8 - 3.2,< 2.5,< 0.8,Iris-setosa
< 5.5,>= 3.2,< 2.5,< 0.8,Iris-setosa
< 5.5,>= 3.2,< 2.5,< 0.8,Iris-setosa
5.5 - 6.2,>= 3.2,< 2.5,< 0.8,Iris-setosa
< 5.5,2.8 - 3.2,< 2.5,< 0.8,Iris-setosa
< 5.5,>= 3.2,< 2.5,< 0.8,Iris-setosa
5.5 - 6.2,>= 3.2,< 2.5,< 0.8,Iris-setosa
< 5.5,2.8 - 3.2,< 2.5,< 0.8,Iris-setosa
< 5.5,2.8 - 3.2,< 2.5,< 0.8,Iris-setosa
< 5.5,>= 3.2,< 2.5,< 0.8,Iris-setosa
< 5.5,>= 3.2,< 2.5,< 0.8,Iris-setosa
< 5.5,< 2.8,< 2.5,< 0.8,Iris-setosa
< 5.5,>= 3.2,< 2.5,< 0.8,Iris-setosa
< 5.5,>= 3.2,< 2.5,< 0.8,Iris-setosa
